,시도,군구,선거인수,투표수,이재명,윤석열,이재명_득표율,윤석열_득표율,ID
118,경기도,화성시,703896.0,542027.0,283324.0,236055.0,52.27119682229851,43.55041354028489,화성
119,경기도,시흥시,424723.0,317197.0,178462.0,125544.0,56.262196679035426,39.57918895828145,시흥
120,경기도,군포시,229884.0,183089.0,94891.0,80277.0,51.82779959473262,43.84588915773203,군포
121,경기도,하남시,265087.0,208858.0,101106.0,100088.0,48.40896685786515,47.92155435750606,하남
122,경기도,파주시,401260.0,297278.0,157155.0,126763.0,52.864658669662745,42.64123143993165,파주
123,경기도,여주시,98077.0,72566.0,30695.0,38731.0,42.29942397265937,53.3734806934377,여주
124,경기도,이천시,187895.0,137512.0,63562.0,67726.0,46.2228750945372,49.25097446041073,이천
125,경기도,용인시처인구,220689.0,162420.0,80188.0,75105.0,49.37076714690309,46.24122644994459,용인 처인
126,경기도,용인시수지구,304545.0,250764.0,113161.0,128995.0,45.1264934360594,51.44079692459843,용인 수지
127,경기도,용인시기흥구,361753.0,289459.0,143279.0,135606.0,49.498892762014655,46.84808556652237,용인 기흥
128,경기도,안성시,162452.0,117380.0,56723.0,54799.0,48.32424603850741,46.68512523428182,안성
129,경기도,김포시,391889.0,302170.0,153206.0,136814.0,50.70192275871198,45.27716186252771,김포
130,경기도,광주시,327252.0,244873.0,130220.0,105675.0,53.178586450935796,43.15502321611611,광주
131,경기도,포천시,131901.0,95968.0,44320.0,47306.0,46.18206068689563,49.293514504834945,포천
132,경기도,연천군,37817.0,28904.0,12013.0,15325.0,41.561721561029614,53.02034320509272,연천
133,경기도,양평군,106406.0,83065.0,34324.0,45487.0,41.32185637753567,54.76072954914826,양평
134,경기도,가평군,55618.0,42512.0,16684.0,23870.0,39.24538953707189,56.148852088821975,가평
135,경상남도,창원시의창구,185646.0,143063.0,52289.0,82914.0,36.54963198031636,57.956284993324616,창원 의창
136,경상남도,창원시성산구,213187.0,170073.0,67177.0,93082.0,39.49892105154845,54.73061567679761,창원 성산
137,경상남도,창원시마산합포구,156984.0,120928.0,37657.0,77518.0,31.140017200317544,64.10260650965864,창원 합포
138,경상남도,창원시마산회원구,160587.0,125233.0,41527.0,77282.0,33.15979015115824,61.71057149473381,창원 회원
139,경상남도,창원시진해구,159611.0,119212.0,45890.0,66298.0,38.49444686776499,55.61352883937859,창원 진해
140,경상남도,진주시,292842.0,228238.0,74975.0,141433.0,32.84948168140275,61.96733234605981,진주
141,경상남도,통영시,106361.0,80080.0,26387.0,49772.0,32.9507992007992,62.15284715284716,통영
142,경상남도,고성군,45053.0,34327.0,10348.0,22213.0,30.14536662102718,64.70999504763014,고성(경남)
143,경상남도,사천시,94303.0,71772.0,23424.0,44656.0,32.63668282895837,62.21924984673689,사천
144,경상남도,김해시,444342.0,328521.0,150338.0,160401.0,45.76206696071179,48.82518925730775,김해
145,경상남도,밀양시,92517.0,70249.0,21906.0,44881.0,31.183362040740793,63.888453928169795,밀양
146,경상남도,거제시,194074.0,145481.0,64355.0,71772.0,44.236017074394596,49.33427732831092,거제
147,경상남도,의령군,24419.0,19089.0,5396.0,12625.0,28.267588663628267,66.13756613756614,의령
148,경상남도,함안군,54570.0,41791.0,13504.0,26066.0,32.31317747840444,62.37228111315834,함안
149,경상남도,창녕군,54037.0,41401.0,10934.0,28492.0,26.409990096857566,68.81959372962005,창녕
150,경상남도,양산시,294133.0,220501.0,92137.0,116904.0,41.78529802585929,53.017446632895094,양산
151,경상남도,하동군,39640.0,32089.0,11218.0,18974.0,34.95902022499922,59.12929664370969,하동
